DEBUG:root: 0: regs[a:7  ['cpy', 'a', 'b']
DEBUG:root: 6: regs[a:21, b:6, d:4, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:21, b:6, d:4, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:21, b:6, d:4, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:22, b:6, d:4, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:22, b:6, d:4, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:22, b:6, d:4, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:23, b:6, d:4, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:23, b:6, d:4, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:23, b:6, d:4, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:24, b:6, d:4, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:24, b:6, d:4, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:24, b:6, d:4, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:24, b:6, d:3, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:24, b:6, d:3, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:24, b:6, d:3, c:6  ['inc', 'a']
DEBUG:root: 6: regs[a:25, b:6, d:3, c:6  ['dec', 'c']
DEBUG:root: 7: regs[a:25, b:6, d:3, c:5  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:25, b:6, d:3, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:26, b:6, d:3, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:26, b:6, d:3, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:26, b:6, d:3, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:27, b:6, d:3, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:27, b:6, d:3, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:27, b:6, d:3, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:28, b:6, d:3, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:28, b:6, d:3, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:28, b:6, d:3, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:29, b:6, d:3, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:29, b:6, d:3, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:29, b:6, d:3, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:30, b:6, d:3, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:30, b:6, d:3, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:30, b:6, d:3, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:30, b:6, d:2, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:30, b:6, d:2, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:30, b:6, d:2, c:6  ['inc', 'a']
DEBUG:root: 6: regs[a:31, b:6, d:2, c:6  ['dec', 'c']
DEBUG:root: 7: regs[a:31, b:6, d:2, c:5  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:31, b:6, d:2, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:32, b:6, d:2, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:32, b:6, d:2, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:32, b:6, d:2, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:33, b:6, d:2, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:33, b:6, d:2, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:33, b:6, d:2, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:34, b:6, d:2, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:34, b:6, d:2, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:34, b:6, d:2, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:35, b:6, d:2, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:35, b:6, d:2, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:35, b:6, d:2, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:36, b:6, d:2, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:36, b:6, d:2, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:36, b:6, d:2, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:36, b:6, d:1, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:36, b:6, d:1, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:36, b:6, d:1, c:6  ['inc', 'a']
DEBUG:root: 6: regs[a:37, b:6, d:1, c:6  ['dec', 'c']
DEBUG:root: 7: regs[a:37, b:6, d:1, c:5  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:37, b:6, d:1, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:38, b:6, d:1, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:38, b:6, d:1, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:38, b:6, d:1, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:39, b:6, d:1, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:39, b:6, d:1, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:39, b:6, d:1, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:40, b:6, d:1, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:40, b:6, d:1, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:40, b:6, d:1, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:41, b:6, d:1, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:41, b:6, d:1, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:41, b:6, d:1, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:42, b:6, d:1, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:42, b:6, d:1, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:42, b:6, d:1, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:42, b:6, d:0, c:0  ['jnz', 'd', '-5']
DEBUG:root:10: regs[a:42, b:6, d:0, c:0  ['dec', 'b']
DEBUG:root:11: regs[a:42, b:5, d:0, c:0  ['cpy', 'b', 'c']
DEBUG:root:12: regs[a:42, b:5, d:0, c:5  ['cpy', 'c', 'd']
DEBUG:root:13: regs[a:42, b:5, d:5, c:5  ['dec', 'd']
DEBUG:root:14: regs[a:42, b:5, d:4, c:5  ['inc', 'c']
DEBUG:root:15: regs[a:42, b:5, d:4, c:6  ['jnz', 'd', '-2']
DEBUG:root:13: regs[a:42, b:5, d:4, c:6  ['dec', 'd']
DEBUG:root:14: regs[a:42, b:5, d:3, c:6  ['inc', 'c']
DEBUG:root:15: regs[a:42, b:5, d:3, c:7  ['jnz', 'd', '-2']
DEBUG:root:13: regs[a:42, b:5, d:3, c:7  ['dec', 'd']
DEBUG:root:14: regs[a:42, b:5, d:2, c:7  ['inc', 'c']
DEBUG:root:15: regs[a:42, b:5, d:2, c:8  ['jnz', 'd', '-2']
DEBUG:root:13: regs[a:42, b:5, d:2, c:8  ['dec', 'd']
DEBUG:root:14: regs[a:42, b:5, d:1, c:8  ['inc', 'c']
DEBUG:root:15: regs[a:42, b:5, d:1, c:9  ['jnz', 'd', '-2']
DEBUG:root:13: regs[a:42, b:5, d:1, c:9  ['dec', 'd']
DEBUG:root:14: regs[a:42, b:5, d:0, c:9  ['inc', 'c']
DEBUG:root:15: regs[a:42, b:5, d:0, c:10  ['jnz', 'd', '-2']
DEBUG:root:16: regs[a:42, b:5, d:0, c:10  ['tgl', 'c']
DEBUG:root:17: regs[a:42, b:5, d:0, c:10  ['cpy', '-16', 'c']
DEBUG:root:18: regs[a:42, b:5, d:0, c:-16  ['jnz', '1', 'c']
DEBUG:root: 2: regs[a:42, b:5, d:0, c:-16  ['cpy', 'a', 'd']
DEBUG:root: 3: regs[a:42, b:5, d:42, c:-16  ['cpy', '0', 'a']
DEBUG:root: 4: regs[a:0, b:5, d:42, c:-16  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:0, b:5, d:42, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:1, b:5, d:42, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:1, b:5, d:42, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:1, b:5, d:42, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:2, b:5, d:42, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:2, b:5, d:42, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:2, b:5, d:42, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:3, b:5, d:42, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:3, b:5, d:42, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:3, b:5, d:42, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4, b:5, d:42, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4, b:5, d:42, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4, b:5, d:42, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:5, b:5, d:42, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:5, b:5, d:42, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:5, b:5, d:42, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:5, b:5, d:41, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:5, b:5, d:41, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:5, b:5, d:41, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:6, b:5, d:41, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:6, b:5, d:41, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:6, b:5, d:41, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:7, b:5, d:41, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:7, b:5, d:41, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:7, b:5, d:41, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:8, b:5, d:41, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:8, b:5, d:41, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:8, b:5, d:41, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:9, b:5, d:41, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:9, b:5, d:41, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:9, b:5, d:41, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:10, b:5, d:41, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:10, b:5, d:41, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:10, b:5, d:41, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:10, b:5, d:40, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:10, b:5, d:40, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:10, b:5, d:40, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:11, b:5, d:40, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:11, b:5, d:40, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:11, b:5, d:40, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:12, b:5, d:40, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:12, b:5, d:40, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:12, b:5, d:40, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:13, b:5, d:40, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:13, b:5, d:40, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:13, b:5, d:40, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:14, b:5, d:40, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:14, b:5, d:40, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:14, b:5, d:40, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:15, b:5, d:40, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:15, b:5, d:40, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:15, b:5, d:40, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:15, b:5, d:39, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:15, b:5, d:39, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:15, b:5, d:39, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:16, b:5, d:39, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:16, b:5, d:39, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:16, b:5, d:39, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:17, b:5, d:39, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:17, b:5, d:39, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:17, b:5, d:39, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:18, b:5, d:39, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:18, b:5, d:39, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:18, b:5, d:39, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:19, b:5, d:39, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:19, b:5, d:39, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:19, b:5, d:39, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:20, b:5, d:39, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:20, b:5, d:39, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:20, b:5, d:39, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:20, b:5, d:38, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:20, b:5, d:38, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:20, b:5, d:38, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:21, b:5, d:38, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:21, b:5, d:38, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:21, b:5, d:38, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:22, b:5, d:38, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:22, b:5, d:38, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:22, b:5, d:38, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:23, b:5, d:38, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:23, b:5, d:38, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:23, b:5, d:38, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:24, b:5, d:38, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:24, b:5, d:38, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:24, b:5, d:38, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:25, b:5, d:38, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:25, b:5, d:38, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:25, b:5, d:38, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:25, b:5, d:37, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:25, b:5, d:37, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:25, b:5, d:37, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:26, b:5, d:37, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:26, b:5, d:37, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:26, b:5, d:37, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:27, b:5, d:37, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:27, b:5, d:37, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:27, b:5, d:37, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:28, b:5, d:37, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:28, b:5, d:37, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:28, b:5, d:37, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:29, b:5, d:37, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:29, b:5, d:37, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:29, b:5, d:37, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:30, b:5, d:37, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:30, b:5, d:37, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:30, b:5, d:37, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:30, b:5, d:36, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:30, b:5, d:36, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:30, b:5, d:36, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:31, b:5, d:36, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:31, b:5, d:36, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:31, b:5, d:36, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:32, b:5, d:36, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:32, b:5, d:36, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:32, b:5, d:36, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:33, b:5, d:36, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:33, b:5, d:36, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:33, b:5, d:36, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:34, b:5, d:36, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:34, b:5, d:36, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:34, b:5, d:36, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:35, b:5, d:36, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:35, b:5, d:36, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:35, b:5, d:36, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:35, b:5, d:35, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:35, b:5, d:35, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:35, b:5, d:35, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:36, b:5, d:35, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:36, b:5, d:35, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:36, b:5, d:35, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:37, b:5, d:35, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:37, b:5, d:35, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:37, b:5, d:35, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:38, b:5, d:35, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:38, b:5, d:35, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:38, b:5, d:35, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:39, b:5, d:35, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:39, b:5, d:35, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:39, b:5, d:35, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:40, b:5, d:35, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:40, b:5, d:35, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:40, b:5, d:35, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:40, b:5, d:34, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:40, b:5, d:34, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:40, b:5, d:34, c:5  ['inc', 'a']
DEBUG:root: 6: regs[a:41, b:5, d:34, c:5  ['dec', 'c']
DEBUG:root: 7: regs[a:41, b:5, d:34, c:4  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:41, b:5, d:34, c:4  ['inc', 'a']
DEBUG:root: 6: regs[a:42, b:5, d:34, c:4  ['dec', 'c']
DEBUG:root: 7: regs[a:42, b:5, d:34, c:3  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:42, b:5, d:34, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:43, b:5, d:34, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:43, b:5, d:34, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:43, b:5, d:34, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:44, b:5, d:34, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:44, b:5, d:34, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:44, b:5, d:34, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:45, b:5, d:34, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:45, b:5, d:34, c:0  ['jnz', 'c', '-2']
